deptbox	District	Village
050957	三民區	寶國里
050958	三民區	寶國里
050959	三民區	寶民里
050960	三民區	寶民里
050961	三民區	寶慶里
050962	三民區	寶慶里
050963	三民區	寶業里
050964	三民區	寶業里
050965	三民區	寶業里
050966	三民區	寶盛里
050967	三民區	寶盛里
050968	三民區	寶盛里
050969	三民區	寶安里
050970	三民區	寶安里
050971	三民區	寶安里
050972	三民區	寶安里
050973	三民區	寶龍里
050974	三民區	寶龍里
050975	三民區	寶龍里
050976	三民區	寶珠里
050977	三民區	寶珠里
050978	三民區	寶珠里
050979	三民區	寶玉里
050980	三民區	寶玉里
050981	三民區	寶玉里
050982	三民區	寶玉里
050983	三民區	寶玉里
050984	三民區	灣子里
050985	三民區	灣子里
050986	三民區	灣愛里
050987	三民區	灣愛里
050988	三民區	灣中里
050989	三民區	灣中里
050990	三民區	灣中里
050991	三民區	灣華里
050992	三民區	灣華里
050993	三民區	灣勝里
050994	三民區	灣勝里
050995	三民區	灣利里
050996	三民區	灣利里
050997	三民區	灣復里
050998	三民區	灣復里
050999	三民區	正興里
0501000	三民區	正興里
0501001	三民區	正興里
0501002	三民區	正興里
0501003	三民區	正興里
0501004	三民區	正興里
0501005	三民區	正順里
0501006	三民區	正順里
0501007	三民區	灣興里
0501008	三民區	灣成里
0501009	三民區	灣成里
0501010	三民區	安康里
0501011	三民區	安康里
0501012	三民區	安寧里
0501013	三民區	安寧里
0501014	三民區	安吉里
0501015	三民區	安吉里
0501016	三民區	安吉里
0501017	三民區	安發里
0501018	三民區	安發里
0501019	三民區	安發里
0501020	三民區	安東里
0501021	三民區	安東里
0501022	三民區	安和里
0501023	三民區	安和里
0501024	三民區	達德里
0501025	三民區	達明里
0501026	三民區	達仁里
0501027	三民區	達勇里
0501028	三民區	同德里
0501029	三民區	同德里
0501030	三民區	德智里
0501031	三民區	德智里
0501032	三民區	德仁里
0501033	三民區	安生里
0501034	三民區	德東里
0501035	三民區	德行里
0501036	三民區	精華里
0501037	三民區	民享里
0501038	三民區	民享里
0501039	三民區	安宜里
0501040	三民區	安宜里
0501041	三民區	安泰里
0501042	三民區	安泰里
0501043	三民區	安泰里
0501044	三民區	安邦里
0501045	三民區	安邦里
0501046	三民區	安邦里
0501047	三民區	十全里
0501048	三民區	十美里
0501049	三民區	德北里
0501050	三民區	德北里
0501051	三民區	立誠里
0501052	三民區	立業里
0501053	三民區	港東里
0501054	三民區	港新里
0501055	三民區	港西里
0501056	三民區	博愛里
0501057	三民區	博惠里
0501058	三民區	博惠里
0501059	三民區	博惠里
0501060	三民區	長明里
0501061	三民區	建東里
0501062	三民區	興德里
0501063	三民區	鳳南里
0501064	三民區	鳳北里
0501065	三民區	德西里
0501066	三民區	豐裕里
0501067	三民區	豐裕里
0501068	三民區	川東里
0501069	三民區	裕民里
0501070	三民區	力行里
0501071	三民區	千歲里
0501072	三民區	立德里
0501073	三民區	千北里
0501074	三民區	千秋里
0501075	三民區	千秋里
0701076	前金區	三川里
0701077	前金區	草江里
0701078	前金區	長城里
0701079	前金區	北金里
0701080	前金區	東金里
0701081	前金區	新生里
0701082	前金區	新生里
0701083	前金區	後金里
0701084	前金區	長興里
0701085	前金區	青山里
0701086	前金區	民生里
0701087	前金區	復元里
0701088	前金區	林投里
0701089	前金區	國民里
0701090	前金區	社東里
0701091	前金區	社東里
0701092	前金區	社西里
0701093	前金區	博孝里
0701094	前金區	長生里
0701095	前金區	榮復里
0701096	前金區	文西里
0701097	前金區	文東里
0601098	新興區	浩然里
0601099	新興區	浩然里
0601100	新興區	振成里
0601101	新興區	德生里
0601102	新興區	德生里
0601103	新興區	振華里
0601104	新興區	正氣里
0601105	新興區	德政里
0601106	新興區	仁聲里
0601107	新興區	德望里
0601108	新興區	德望里
0601109	新興區	華聲里
0601110	新興區	蕉園里
0601111	新興區	永寧里
0601112	新興區	玉衡里
0601113	新興區	順昌里
0601114	新興區	順昌里
0601115	新興區	文昌里
0601116	新興區	文昌里
0601117	新興區	光耀里
0601118	新興區	光耀里
0601119	新興區	興昌里
0601120	新興區	興昌里
0601121	新興區	開平里
0601122	新興區	開平里
0601123	新興區	成功里
0601124	新興區	新江里
0601125	新興區	黎明里
0601126	新興區	愛平里
0601127	新興區	南港里
0601128	新興區	南港里
0601129	新興區	中東里
0601130	新興區	中東里
0601131	新興區	明莊里
0601132	新興區	大明里
0601133	新興區	秋山里
0601134	新興區	長驛里
0601135	新興區	建興里
0601136	新興區	建華里
0601137	新興區	漢民里
0601138	新興區	榮治里
0601139	新興區	東坡里
0801140	苓雅區	博仁里
0801141	苓雅區	苓洲里
0801142	苓雅區	苓昇里
0801143	苓雅區	苓中里
0801144	苓雅區	苓雅里
0801145	苓雅區	苓東里
0801146	苓雅區	城北里
0801147	苓雅區	城西里
0801148	苓雅區	城東里
0801149	苓雅區	城東里
0801150	苓雅區	意誠里
0801151	苓雅區	意誠里
0801152	苓雅區	鼓中里
0801153	苓雅區	田西里
0801154	苓雅區	人和里
0801155	苓雅區	人和里
0801156	苓雅區	仁政里
0801157	苓雅區	廣澤里
0801158	苓雅區	廣澤里
0801159	苓雅區	美田里
0801160	苓雅區	華堂里
0801161	苓雅區	華堂里
0801162	苓雅區	日中里
0801163	苓雅區	日中里
0801164	苓雅區	普照里
0801165	苓雅區	普照里
0801166	苓雅區	和煦里
0801167	苓雅區	和煦里
0801168	苓雅區	晴朗里
0801169	苓雅區	普天里
0801170	苓雅區	普天里
0801171	苓雅區	林富里
0801172	苓雅區	林圍里
0801173	苓雅區	林圍里
0801174	苓雅區	林安里
0801175	苓雅區	光華里
0801176	苓雅區	林興里
0801177	苓雅區	林華里
0801178	苓雅區	林華里
0801179	苓雅區	林西里
0801180	苓雅區	林中里
0801181	苓雅區	林中里
0801182	苓雅區	林泉里
0801183	苓雅區	林南里
0801184	苓雅區	林南里
0801185	苓雅區	中正里
0801186	苓雅區	中正里
0801187	苓雅區	尚義里
0801188	苓雅區	同慶里
0801189	苓雅區	同慶里
0801190	苓雅區	凱旋里
0801191	苓雅區	凱旋里
0801192	苓雅區	安祥里
0801193	苓雅區	安祥里
0801194	苓雅區	奏捷里
0801195	苓雅區	福壽里
0801196	苓雅區	福南里
0801197	苓雅區	福南里
0801198	苓雅區	五權里
0801199	苓雅區	五權里
0801200	苓雅區	民主里
0801201	苓雅區	民主里
0801202	苓雅區	民主里
0801203	苓雅區	林德里
0801204	苓雅區	林德里
0801205	苓雅區	林貴里
0801206	苓雅區	林榮里
0801207	苓雅區	林榮里
0801208	苓雅區	林榮里
0801209	苓雅區	英明里
0801210	苓雅區	英明里
0801211	苓雅區	林靖里
0801212	苓雅區	朝陽里
0801213	苓雅區	福隆里
0801214	苓雅區	福隆里
0801215	苓雅區	福祥里
0801216	苓雅區	福海里
0801217	苓雅區	福康里
0801218	苓雅區	福康里
0801219	苓雅區	福人里
0801220	苓雅區	福人里
0801221	苓雅區	福地里
0801222	苓雅區	福地里
0801223	苓雅區	福居里
0801224	苓雅區	福居里
0801225	苓雅區	福東里
0801226	苓雅區	福東里
0801227	苓雅區	福西里
0801228	苓雅區	福西里
0801229	苓雅區	永康里
0801230	苓雅區	永康里
0801231	苓雅區	正文里
0801232	苓雅區	正文里
0801233	苓雅區	正言里
0801234	苓雅區	正言里
0801235	苓雅區	正大里
0801236	苓雅區	正大里
0801237	苓雅區	正大里
0801238	苓雅區	五福里
0801239	苓雅區	五福里
0801240	苓雅區	五福里
0801241	苓雅區	正心里
0801242	苓雅區	正心里
0801243	苓雅區	正道里
0801244	苓雅區	正道里
0801245	苓雅區	正道里
0801246	苓雅區	正義里
0801247	苓雅區	正義里
0801248	苓雅區	正仁里
0801249	苓雅區	正仁里
0801250	苓雅區	文昌里
0801251	苓雅區	文昌里
0801252	苓雅區	文昌里
0801253	苓雅區	建軍里
0801254	苓雅區	衛武里
0801255	苓雅區	衛武里
1201256	鳳山區	鳳崗里
1201257	鳳山區	縣衙里
1201258	鳳山區	曹公里
1201259	鳳山區	曹公里
1201260	鳳山區	鎮西里
1201261	鳳山區	鎮西里
1201262	鳳山區	鎮西里
1201263	鳳山區	鎮西里
1201264	鳳山區	北門里
1201265	鳳山區	北門里
1201266	鳳山區	北門里
1201267	鳳山區	鎮北里
1201268	鳳山區	鎮北里
1201269	鳳山區	鎮北里
1201270	鳳山區	鎮北里
1201271	鳳山區	鎮北里
1201272	鳳山區	鎮北里
1201273	鳳山區	武松里
1201274	鳳山區	武松里
1201275	鳳山區	忠誠里
1201276	鳳山區	忠誠里
1201277	鳳山區	文英里
1201278	鳳山區	文英里
1201279	鳳山區	文英里
1201280	鳳山區	文華里
1201281	鳳山區	文華里
1201282	鳳山區	文華里
1201283	鳳山區	文華里
1201284	鳳山區	文華里
1201285	鳳山區	文華里
1201286	鳳山區	文山里
1201287	鳳山區	文山里
1201288	鳳山區	文山里
1201289	鳳山區	文山里
1201290	鳳山區	文山里
1201291	鳳山區	文德里
1201292	鳳山區	文德里
1201293	鳳山區	文德里
1201294	鳳山區	文德里
1201295	鳳山區	文德里
1201296	鳳山區	文衡里
1201297	鳳山區	文衡里
1201298	鳳山區	文衡里
1201299	鳳山區	文福里
1201300	鳳山區	文福里
1201301	鳳山區	文福里
1201302	鳳山區	文福里
1201303	鳳山區	文福里
1201304	鳳山區	文福里
1201305	鳳山區	成功里
1201306	鳳山區	縣口里
1201307	鳳山區	光明里
1201308	鳳山區	和德里
1201309	鳳山區	和德里
1201310	鳳山區	和興里
1201311	鳳山區	和興里
1201312	鳳山區	和興里
1201313	鳳山區	南興里
1201314	鳳山區	三民里
1201315	鳳山區	新興里
1201316	鳳山區	新興里
1201317	鳳山區	興仁里
1201318	鳳山區	興仁里
1201319	鳳山區	興仁里
1201320	鳳山區	興中里
1201321	鳳山區	協和里
1201322	鳳山區	協和里
1201323	鳳山區	協和里
1201324	鳳山區	忠義里
1201325	鳳山區	忠義里
1201326	鳳山區	忠義里
1201327	鳳山區	忠義里
1201328	鳳山區	忠孝里
1201329	鳳山區	忠孝里
1201330	鳳山區	忠孝里
1201331	鳳山區	忠孝里
1201332	鳳山區	忠孝里
1201333	鳳山區	中和里
1201334	鳳山區	中和里
1201335	鳳山區	中和里
1201336	鳳山區	誠義里
1201337	鳳山區	誠義里
1201338	鳳山區	生明里
1201339	鳳山區	生明里
1201340	鳳山區	鎮東里
1201341	鳳山區	鎮東里
1201342	鳳山區	瑞竹里
1201343	鳳山區	瑞竹里
1201344	鳳山區	瑞竹里
1201345	鳳山區	瑞竹里
1201346	鳳山區	瑞興里
1201347	鳳山區	瑞興里
1201348	鳳山區	瑞興里
1201349	鳳山區	東門里
1201350	鳳山區	東門里
1201351	鳳山區	東門里
1201352	鳳山區	東門里
1201353	鳳山區	誠德里
1201354	鳳山區	誠德里
1201355	鳳山區	誠信里
1201356	鳳山區	誠信里
1201357	鳳山區	誠智里
1201358	鳳山區	誠智里
1201359	鳳山區	鳳東里
1201360	鳳山區	鳳東里
1201361	鳳山區	鳳東里
1201362	鳳山區	鳳東里
1201363	鳳山區	埤頂里
1201364	鳳山區	埤頂里
1201365	鳳山區	埤頂里
1201366	鳳山區	埤頂里
1201367	鳳山區	中正里
1201368	鳳山區	中正里
1201369	鳳山區	中正里
1201370	鳳山區	海光里
1201371	鳳山區	海光里
1201372	鳳山區	國泰里
1201373	鳳山區	國泰里
1201374	鳳山區	國泰里
1201375	鳳山區	國光里
1201376	鳳山區	國光里
1201377	鳳山區	國光里
1201378	鳳山區	國隆里
1201379	鳳山區	國隆里
1201380	鳳山區	國富里
1201381	鳳山區	國富里
1201382	鳳山區	武慶里
1201383	鳳山區	武慶里
1201384	鳳山區	武漢里
1201385	鳳山區	武漢里
1201386	鳳山區	武漢里
1201387	鳳山區	武漢里
1201388	鳳山區	新甲里
1201389	鳳山區	新甲里
1201390	鳳山區	新武里
1201391	鳳山區	新武里
1201392	鳳山區	新泰里
1201393	鳳山區	新泰里
1201394	鳳山區	新泰里
1201395	鳳山區	新樂里
1201396	鳳山區	新樂里
1201397	鳳山區	新樂里
1201398	鳳山區	新強里
1201399	鳳山區	新強里
1201400	鳳山區	新強里
1201401	鳳山區	新強里
1201402	鳳山區	海洋里
1201403	鳳山區	海洋里
1201404	鳳山區	海洋里
1201405	鳳山區	新富里
1201406	鳳山區	新富里
1201407	鳳山區	新富里
1201408	鳳山區	老爺里
1201409	鳳山區	老爺里
1201410	鳳山區	老爺里
1201411	鳳山區	老爺里
1201412	鳳山區	老爺里
1201413	鳳山區	中民里
1201414	鳳山區	中民里
1201415	鳳山區	中民里
1201416	鳳山區	中崙里
1201417	鳳山區	中崙里
1201418	鳳山區	中榮里
1201419	鳳山區	中榮里
1201420	鳳山區	中榮里
1201421	鳳山區	過埤里
1201422	鳳山區	過埤里
1201423	鳳山區	過埤里
1201424	鳳山區	過埤里
1201425	鳳山區	過埤里
1201426	鳳山區	過埤里
1201427	鳳山區	過埤里
1201428	鳳山區	過埤里
1201429	鳳山區	正義里
1201430	鳳山區	正義里
1201431	鳳山區	正義里
1201432	鳳山區	正義里
1201433	鳳山區	正義里
1201434	鳳山區	保安里
1201435	鳳山區	保安里
1201436	鳳山區	保安里
1201437	鳳山區	保安里
1201438	鳳山區	一甲里
1201439	鳳山區	一甲里
1201440	鳳山區	一甲里
1201441	鳳山區	二甲里
1201442	鳳山區	二甲里
1201443	鳳山區	二甲里
1201444	鳳山區	龍成里
1201445	鳳山區	龍成里
1201446	鳳山區	鎮南里
1201447	鳳山區	鎮南里
1201448	鳳山區	鎮南里
1201449	鳳山區	鎮南里
1201450	鳳山區	富甲里
1201451	鳳山區	富甲里
1201452	鳳山區	善美里
1201453	鳳山區	善美里
1201454	鳳山區	善美里
1201455	鳳山區	善美里
1201456	鳳山區	富榮里
1201457	鳳山區	富榮里
1201458	鳳山區	南和里
1201459	鳳山區	南和里
1201460	鳳山區	南成里
1201461	鳳山區	南成里
1201462	鳳山區	南成里
1201463	鳳山區	南成里
1201464	鳳山區	南成里
1201465	鳳山區	南成里
1201466	鳳山區	天興里
1201467	鳳山區	天興里
1201468	鳳山區	天興里
1201469	鳳山區	大德里
1201470	鳳山區	大德里
1201471	鳳山區	大德里
1201472	鳳山區	五福里
1201473	鳳山區	五福里
1201474	鳳山區	福興里
1201475	鳳山區	福興里
1201476	鳳山區	福興里
1201477	鳳山區	福興里
1201478	鳳山區	福興里
1201479	鳳山區	福祥里
1201480	鳳山區	福祥里
1201481	鳳山區	福誠里
1201482	鳳山區	福誠里
1201483	鳳山區	福誠里
0901484	前鎮區	草衙里
0901485	前鎮區	草衙里
0901486	前鎮區	草衙里
0901487	前鎮區	草衙里
0901488	前鎮區	草衙里
0901489	前鎮區	明孝里
0901490	前鎮區	明孝里
0901491	前鎮區	明正里
0901492	前鎮區	明正里
0901493	前鎮區	明正里
0901494	前鎮區	明義里
0901495	前鎮區	明義里
0901496	前鎮區	仁愛里
0901497	前鎮區	德昌里
0901498	前鎮區	德昌里
0901499	前鎮區	平等里
0901500	前鎮區	平昌里
0901501	前鎮區	明禮里
0901502	前鎮區	信義里
0901503	前鎮區	信德里
0901504	前鎮區	信德里
0901505	前鎮區	明道里
0901506	前鎮區	興化里
0901507	前鎮區	興仁里
0901508	前鎮區	前鎮里
0901509	前鎮區	鎮東里
0901510	前鎮區	鎮東里
0901511	前鎮區	鎮榮里
0901512	前鎮區	鎮榮里
0901513	前鎮區	鎮昌里
0901514	前鎮區	鎮昌里
0901515	前鎮區	鎮海里
0901516	前鎮區	鎮海里
0901517	前鎮區	鎮海里
0901518	前鎮區	鎮陽里
0901519	前鎮區	興邦里
0901520	前鎮區	興邦里
0901521	前鎮區	鎮中里
0901522	前鎮區	鎮北里
0901523	前鎮區	忠純里
0901524	前鎮區	忠純里
0901525	前鎮區	忠純里
0901526	前鎮區	忠誠里
0901527	前鎮區	忠誠里
0901528	前鎮區	西山里
0901529	前鎮區	西山里
0901530	前鎮區	民權里
0901531	前鎮區	民權里
0901532	前鎮區	民權里
0901533	前鎮區	建隆里
0901534	前鎮區	振興里
0901535	前鎮區	振興里
0901536	前鎮區	良和里
0901537	前鎮區	良和里
0901538	前鎮區	西甲里
0901539	前鎮區	盛興里
0901540	前鎮區	盛興里
0901541	前鎮區	盛豐里
0901542	前鎮區	盛豐里
0901543	前鎮區	興中里
0901544	前鎮區	興中里
0901545	前鎮區	興東里
0901546	前鎮區	興東里
0901547	前鎮區	興東里
0901548	前鎮區	忠孝里
0901549	前鎮區	忠孝里
0901550	前鎮區	復國里
0901551	前鎮區	復國里
0901552	前鎮區	竹內里
0901553	前鎮區	竹內里
0901554	前鎮區	竹東里
0901555	前鎮區	竹東里
0901556	前鎮區	竹南里
0901557	前鎮區	竹南里
0901558	前鎮區	竹南里
0901559	前鎮區	竹南里
0901560	前鎮區	竹北里
0901561	前鎮區	竹北里
0901562	前鎮區	竹西里
0901563	前鎮區	竹西里
0901564	前鎮區	竹西里
0901565	前鎮區	竹中里
0901566	前鎮區	竹中里
0901567	前鎮區	瑞竹里
0901568	前鎮區	瑞南里
0901569	前鎮區	瑞南里
0901570	前鎮區	瑞南里
0901571	前鎮區	瑞豐里
0901572	前鎮區	瑞豐里
0901573	前鎮區	瑞祥里
0901574	前鎮區	瑞祥里
0901575	前鎮區	瑞祥里
0901576	前鎮區	瑞東里
0901577	前鎮區	瑞東里
0901578	前鎮區	瑞和里
0901579	前鎮區	瑞和里
0901580	前鎮區	瑞平里
0901581	前鎮區	瑞平里
0901582	前鎮區	瑞平里
0901583	前鎮區	瑞隆里
0901584	前鎮區	瑞隆里
0901585	前鎮區	瑞隆里
0901586	前鎮區	瑞北里
0901587	前鎮區	瑞北里
0901588	前鎮區	瑞西里
0901589	前鎮區	瑞西里
0901590	前鎮區	瑞崗里
0901591	前鎮區	瑞崗里
0901592	前鎮區	瑞興里
0901593	前鎮區	瑞興里
0901594	前鎮區	瑞誠里
0901595	前鎮區	瑞誠里
0901596	前鎮區	瑞文里
0901597	前鎮區	瑞文里
0901598	前鎮區	瑞華里
0901599	前鎮區	瑞華里
0901600	前鎮區	瑞華里
0901601	前鎮區	瑞昌里
0901602	前鎮區	瑞昌里
1101603	小港區	小港里
1101604	小港區	小港里
1101605	小港區	港口里
1101606	小港區	港口里
1101607	小港區	港正里
1101608	小港區	港正里
1101609	小港區	港墘里
1101610	小港區	港明里
1101611	小港區	港明里
1101612	小港區	港后里
1101613	小港區	港后里
1101614	小港區	港南里
1101615	小港區	港興里
1101616	小港區	港興里
1101617	小港區	鳳宮里
1101618	小港區	鳳宮里
1101619	小港區	店鎮里
1101620	小港區	店鎮里
1101621	小港區	店鎮里
1101622	小港區	店鎮里
1101623	小港區	大苓里
1101624	小港區	大苓里
1101625	小港區	二苓里
1101626	小港區	二苓里
1101627	小港區	三苓里
1101628	小港區	三苓里
1101629	小港區	正苓里
1101630	小港區	正苓里
1101631	小港區	正苓里
1101632	小港區	順苓里
1101633	小港區	順苓里
1101634	小港區	順苓里
1101635	小港區	六苓里
1101636	小港區	六苓里
1101637	小港區	宏亮里
1101638	小港區	宏亮里
1101639	小港區	山東里
1101640	小港區	山東里
1101641	小港區	青島里
1101642	小港區	青島里
1101643	小港區	濟南里
1101644	小港區	濟南里
1101645	小港區	濟南里
1101646	小港區	泰山里
1101647	小港區	泰山里
1101648	小港區	山明里
1101649	小港區	山明里
1101650	小港區	山明里
1101651	小港區	山明里
1101652	小港區	山明里
1101653	小港區	山明里
1101654	小港區	高松里
1101655	小港區	高松里
1101656	小港區	高松里
1101657	小港區	松金里
1101658	小港區	松金里
1101659	小港區	松山里
1101660	小港區	松山里
1101661	小港區	大坪里
1101662	小港區	大坪里
1101663	小港區	坪頂里
1101664	小港區	坪頂里
1101665	小港區	坪頂里
1101666	小港區	坪頂里
1101667	小港區	孔宅里
1101668	小港區	孔宅里
1101669	小港區	孔宅里
1101670	小港區	廈莊里
1101671	小港區	廈莊里
1101672	小港區	合作里
1101673	小港區	合作里
1101674	小港區	桂林里
1101675	小港區	桂林里
1101676	小港區	桂林里
1101677	小港區	桂林里
1101678	小港區	桂林里
1101679	小港區	中厝里
1101680	小港區	中厝里
1101681	小港區	鳳鳴里
1101682	小港區	鳳鳴里
1101683	小港區	龍鳳里
1101684	小港區	龍鳳里
1101685	小港區	鳳森里
1101686	小港區	鳳林里
1101687	小港區	鳳林里
1101688	小港區	鳳興里
1101689	小港區	鳳興里
1101690	小港區	鳳源里
1101691	小港區	鳳源里
1401692	大寮區	拷潭里
1401693	大寮區	拷潭里
1401694	大寮區	內坑里
1401695	大寮區	內坑里
1401696	大寮區	內坑里
1401697	大寮區	內坑里
1401698	大寮區	大寮里
1401699	大寮區	大寮里
1401700	大寮區	大寮里
1401701	大寮區	大寮里
1401702	大寮區	大寮里
1401703	大寮區	上寮里
1401704	大寮區	上寮里
1401705	大寮區	三隆里
1401706	大寮區	三隆里
1401707	大寮區	三隆里
1401708	大寮區	三隆里
1401709	大寮區	琉球里
1401710	大寮區	琉球里
1401711	大寮區	琉球里
1401712	大寮區	翁園里
1401713	大寮區	翁園里
1401714	大寮區	翁園里
1401715	大寮區	前庄里
1401716	大寮區	前庄里
1401717	大寮區	中庄里
1401718	大寮區	中庄里
1401719	大寮區	中庄里
1401720	大寮區	中庄里
1401721	大寮區	中庄里
1401722	大寮區	中庄里
1401723	大寮區	中庄里
1401724	大寮區	中庄里
1401725	大寮區	後庄里
1401726	大寮區	後庄里
1401727	大寮區	後庄里
1401728	大寮區	後庄里
1401729	大寮區	後庄里
1401730	大寮區	義仁里
1401731	大寮區	義仁里
1401732	大寮區	新厝里
1401733	大寮區	新厝里
1401734	大寮區	過溪里
1401735	大寮區	過溪里
1401736	大寮區	潮寮里
1401737	大寮區	潮寮里
1401738	大寮區	潮寮里
1401739	大寮區	會結里
1401740	大寮區	會社里
1401741	大寮區	會社里
1401742	大寮區	會社里
1401743	大寮區	會社里
1401744	大寮區	會社里
1401745	大寮區	山頂里
1401746	大寮區	山頂里
1401747	大寮區	山頂里
1401748	大寮區	山頂里
1401749	大寮區	山頂里
1401750	大寮區	山頂里
1401751	大寮區	忠義里
1401752	大寮區	永芳里
1401753	大寮區	永芳里
1401754	大寮區	永芳里
1401755	大寮區	永芳里
1401756	大寮區	永芳里
1401757	大寮區	永芳里
1401758	大寮區	義和里
1401759	大寮區	義和里
1401760	大寮區	溪寮里
1401761	大寮區	溪寮里
1401762	大寮區	江山里
1401763	大寮區	江山里
1401764	大寮區	昭明里
1401765	大寮區	昭明里
1401766	大寮區	昭明里
1401767	大寮區	光武里
1401768	大寮區	中興里
1401769	大寮區	中興里
1401770	大寮區	中興里
1401771	大寮區	中興里
1401772	大寮區	中興里
1301773	林園區	東林里
1301774	林園區	東林里
1301775	林園區	林園里
1301776	林園區	林園里
1301777	林園區	林園里
1301778	林園區	溪州里
1301779	林園區	溪州里
1301780	林園區	溪州里
1301781	林園區	潭頭里
1301782	林園區	潭頭里
1301783	林園區	中厝里
1301784	林園區	中厝里
1301785	林園區	中門里
1301786	林園區	中門里
1301787	林園區	頂厝里
1301788	林園區	頂厝里
1301789	林園區	頂厝里
1301790	林園區	頂厝里
1301791	林園區	港埔里
1301792	林園區	港埔里
1301793	林園區	西溪里
1301794	林園區	西溪里
1301795	林園區	西溪里
1301796	林園區	港嘴里
1301797	林園區	北汕里
1301798	林園區	北汕里
1301799	林園區	林內里
1301800	林園區	林內里
1301801	林園區	王公里
1301802	林園區	王公里
1301803	林園區	王公里
1301804	林園區	林家里
1301805	林園區	龔厝里
1301806	林園區	龔厝里
1301807	林園區	鳳芸里
1301808	林園區	鳳芸里
1301809	林園區	中芸里
1301810	林園區	中芸里
1301811	林園區	東汕里
1301812	林園區	西汕里
1301813	林園區	仁愛里
1301814	林園區	仁愛里
1301815	林園區	文賢里
1301816	林園區	文賢里
1301817	林園區	廣應里
1301818	林園區	廣應里
1301819	林園區	廣應里
1301820	林園區	五福里
1301821	林園區	五福里
1301822	林園區	中汕里
1301823	林園區	中汕里
0000	all	all
0100	鹽埕區	all
0200	鼓山區	all
0300	左營區	all
0400	楠梓區	all
0500	三民區	all
0600	新興區	all
0700	前金區	all
0800	苓雅區	all
0900	前鎮區	all
1000	旗津區	all
1100	小港區	all
1200	鳳山區	all
1300	林園區	all
1400	大寮區	all
1500	大樹區	all
1600	大社區	all
1700	仁武區	all
1800	鳥松區	all
1900	岡山區	all
2000	橋頭區	all
2100	燕巢區	all
2200	田寮區	all
2300	阿蓮區	all
2400	路竹區	all
2500	湖內區	all
2600	茄萣區	all
2700	永安區	all
2800	彌陀區	all
2900	梓官區	all
3000	旗山區	all
3100	美濃區	all
3200	六龜區	all
3300	甲仙區	all
3400	杉林區	all
3500	內門區	all
3600	茂林區	all
3700	桃源區	all
3800	那瑪夏區	all