fullcode,area,name,no,party
63000,台北市,張家豪,1,台灣動物保護黨
63000,台北市,王文娟,2,無黨籍
63000,台北市,鄭匡宇,3,無黨籍
63000,台北市,黃聖峰,4,台澎黨
63000,台北市,童文薰,5,無黨籍
63000,台北市,蔣萬安,6,國民黨
63000,台北市,蘇煥智,7,台灣維新
63000,台北市,黃珊珊,8,無黨籍
63000,台北市,施奉先,9,無黨籍
63000,台北市,唐新民,10,共和黨
63000,台北市,謝立康,11,無黨籍
63000,台北市,陳時中,12,民進黨
65000,新北市,林佳龍,1,民進黨
65000,新北市,侯友宜,2,國民黨
68000,桃園市,張善政,1,國民黨
68000,桃園市,賴香伶,2,台灣民眾黨
68000,桃園市,鄭運鵬,3,民進黨
68000,桃園市,鄭寶清,4,無黨籍
66000,台中市,陳美妃,1,無黨籍
66000,台中市,蔡其昌,2,民進黨
66000,台中市,盧秀燕,3,國民黨
67000,台南市,許忠信,1,無黨籍
67000,台南市,林義豐,2,無黨籍
67000,台南市,謝龍介,3,國民黨
67000,台南市,吳炳輝,4,無黨籍
67000,台南市,黃偉哲,5,民進黨
64000,高雄市,鄭宇翔,1,無黨籍
64000,高雄市,曾尹儷,2,無黨籍
64000,高雄市,柯志恩,3,國民黨
64000,高雄市,陳其邁,4,民進黨
10017,基隆市,謝國樑,1,國民黨
10017,基隆市,陳薇仲,2,時代力量
10017,基隆市,蔡適應,3,民進黨
10017,基隆市,曾國民,4,無黨籍
10017,基隆市,黃希賢,5,無黨籍
10018,新竹市,黃源甫,1,無黨籍
10018,新竹市,龔偉綸,2,無黨籍
10018,新竹市,林耕仁,3,國民黨
10018,新竹市,李驥羣,4,無黨籍
10018,新竹市,沈慧虹,5,民進黨
10018,新竹市,高虹安,6,台灣民眾黨
10004,新竹縣,黃秀龍,1,無黨籍
10004,新竹縣,范振揆,2,無黨籍
10004,新竹縣,周江杰,3,民進黨
10004,新竹縣,楊文科,4,國民黨
10004,新竹縣,劉復嵐,5,無黨籍
10005,苗栗縣,鍾東錦,1,無黨籍
10005,苗栗縣,謝福弘,2,國民黨
10005,苗栗縣,吳盛聖,3,無黨籍
10005,苗栗縣,徐定禎,4,民進黨
10005,苗栗縣,宋國鼎,5,時代力量
10007,彰化縣,王惠美,1,國民黨
10007,彰化縣,黃秀芳,2,民進黨
10007,彰化縣,蕭仁正,3,無黨籍
10008,南投縣,蔡培慧,1,民進黨
10008,南投縣,許淑華,2,國民黨
10008,南投縣,王永慶,3,無黨籍
10009,雲林縣,張麗善,1,國民黨
10009,雲林縣,劉建國,2,民進黨
10009,雲林縣,林佳瑜,3,中華家國黨
10020,嘉義市,黃敏惠,1,國民黨
10020,嘉義市,蔡松益,2,無黨籍
10020,嘉義市,黃紹聰,3,無黨籍
10020,嘉義市,陳泰山,4,無黨籍
10020,嘉義市,黃宏成台灣阿成世界偉人財神總統,5,無黨籍
10020,嘉義市,李俊俋,6,民進黨
10010,嘉義縣,王育敏,1,國民黨
10010,嘉義縣,翁章梁,2,民進黨
10013,屏東縣,詹智鈞,1,時代力量
10013,屏東縣,蘇清泉,2,國民黨
10013,屏東縣,周春米,3,民進黨
10002,宜蘭縣,林姿妙,1,國民黨
10002,宜蘭縣,朱振東,2,天一黨
10002,宜蘭縣,許鋐哲,3,無黨籍
10002,宜蘭縣,陳秋境,4,無黨籍
10002,宜蘭縣,江聰淵,5,民進黨
10002,宜蘭縣,陳琬惠,6,台灣民眾黨
10015,花蓮縣,徐榛蔚,1,國民黨
10015,花蓮縣,黄師鵬,2,無黨籍
10015,花蓮縣,谷辣斯．尤達卡 Kolas Yotaka,3,民進黨
10014,台東縣,陳長宏,1,無黨籍
10014,台東縣,饒慶鈴,2,國民黨
10014,台東縣,劉櫂豪,3,民進黨
10016,澎湖縣,陳光復,1,民進黨
10016,澎湖縣,賴峰偉,2,國民黨
10016,澎湖縣,葉竹林,3,無黨籍
09020,金門縣,李應文,1,無黨籍
09020,金門縣,朱紀瑋,2,龍黨
09020,金門縣,林志錦,3,無黨籍
09020,金門縣,楊鎮浯,4,國民黨
09020,金門縣,陳福海,5,無黨籍
09020,金門縣,洪志恒,6,無黨籍
09007,連江縣,李問,1,民進黨
09007,連江縣,曹爾元,2,國民黨
09007,連江縣,王忠銘,3,國民黨